scanner,symbol,provider,providerName,publishedUtc,headline,url,articleId
top_gainers,KORU,FINNHUB,Finnhub,2026-01-05T02:52:00+00:00,Why South Korea Is Staging A K-Shaped Economic Recovery,https://finnhub.io/api/news?id=203167d48130d94851aa6d9b44b537f4ca0f2536fe262a8e136102cb85fdac1a,137988687
top_gainers,GHRS,FINNHUB,Finnhub,2026-01-04T08:30:00+00:00,GH Research: GH001 Shows Robust Data Ahead Of FDA IND Decision,https://finnhub.io/api/news?id=7f46acccc8cc9c992e87d0bbab04b9deb2b54041c37172a994d2a10765ce39ce,137980706
top_gainers,PBF,FINNHUB,Finnhub,2026-01-03T18:21:00+00:00,The Oil Sector’s Biggest Winners and Losers From Venezuela Regime Change,https://finnhub.io/api/news?id=0c6733df14898c7ce459613fd384ff0af90fcc3e02bdc831e0910513d218c2ac,137986004
top_gainers,SRFM,FINNHUB,Finnhub,2026-01-03T11:19:45+00:00,Surf Air (SRFM) Invests $26M to Develop SurfOS,https://finnhub.io/api/news?id=d0a90c38503000f83884a5b51b0c8cc426aeec9d6990e101b497e86c92c1901e,137982897
top_gainers,PBF,FINNHUB,Finnhub,2026-01-02T22:30:00+00:00,PBF Energy Provides Update on Martinez Refinery Operations and Issues 2026 Annual Guidance Information,https://finnhub.io/api/news?id=7993d4aeba0a5a61f4e6276fd5328c80e987515a40ec7ee2565a567da74f9b0b,137987857
top_gainers,SLB,FINNHUB,Finnhub,2026-01-02T21:12:03+00:00,SLB N.V. (SLB) Wins Landmark Aramco Contract for Saudi Unconventional Gas Development,https://finnhub.io/api/news?id=2745fd1f843eb0f992d947d7cf9e20b2dfddbdb5ca9f9eb5af19055f0979a77e,137986701
top_gainers,AGQ,FINNHUB,Finnhub,2026-01-02T10:04:54+00:00,Leveraged ETF Drift Watch List And Focus On SQQQ,https://finnhub.io/api/news?id=96fa497886a4b8df71fe9fb89e898a433c9c23ea8220515fa53b53637fa181fa,137965567
