symbol,last,prev_close,pct_change,shortable_shares,vol_1m,vol_3m,vol_5m,vol_10m,vpm_1m,vpm_3m,vpm_5m,vpm_10m,trades_1m,trades_3m,trades_5m,trades_10m,tpm_1m,tpm_3m,tpm_5m,tpm_10m,vwap_30m,vpm_base,accel,breakout_score
AVGO,NA,NA,NA,NA,20974.0000,78752.0000,110872.0000,192748.0000,20974.0000,26250.6667,22174.4000,19274.8000,287.0000,1127.0000,1514.0000,2505.0000,287.0000,375.6667,302.8000,250.5000,345.2499,19274.8000,1.0882,NA
GPUS,0.3703,0.2562,44.5355,5659897.0000,281969.0000,2172280.0000,3453523.0000,9845335.0000,281969.0000,724093.3333,690704.6000,984533.5000,118.0000,799.0000,1263.0000,3666.0000,118.0000,266.3333,252.6000,366.6000,0.3702,984533.5000,0.2864,49.9273
LUCY,1.7800,1.1800,50.8475,NA,33398.0000,228513.0000,358917.0000,907094.0000,33398.0000,76171.0000,71783.4000,90709.4000,71.0000,498.0000,765.0000,1811.0000,71.0000,166.0000,153.0000,181.1000,1.7499,90709.4000,0.3682,46.6698
ONDS,NA,NA,NA,NA,87012.0000,516118.0000,768678.0000,1209459.0000,87012.0000,172039.3333,153735.6000,120945.9000,164.0000,862.0000,1332.0000,2099.0000,164.0000,287.3333,266.4000,209.9000,12.3362,120945.9000,0.7194,NA
IREN,NA,NA,NA,NA,49229.0000,175943.0000,226112.0000,307334.0000,49229.0000,58647.6667,45222.4000,30733.4000,92.0000,457.0000,612.0000,976.0000,92.0000,152.3333,122.4000,97.6000,44.8346,30733.4000,1.6018,NA
RIVN,NA,NA,NA,NA,73983.0000,426316.0000,554398.0000,863256.0000,73983.0000,142105.3333,110879.6000,86325.6000,199.0000,771.0000,1080.0000,1834.0000,199.0000,257.0000,216.0000,183.4000,20.1064,86325.6000,0.8570,NA
SNAP,8.9400,8.7900,1.7065,27873517.0000,362923.0000,561432.0000,779687.0000,1110293.0000,362923.0000,187144.0000,155937.4000,111029.3000,206.0000,575.0000,1115.0000,1840.0000,206.0000,191.6667,223.0000,184.0000,8.9532,111029.3000,3.2687,2.6461
GEV,668.0400,686.3300,-2.6649,NA,7925.0000,31631.0000,41502.0000,74572.0000,7925.0000,10543.6667,8300.4000,7457.2000,71.0000,385.0000,511.0000,864.0000,71.0000,128.3333,102.2000,86.4000,670.5299,7457.2000,1.0627,-2.3238
QBTS,30.6100,31.2700,-2.1106,NA,44119.0000,192408.0000,429264.0000,766485.0000,44119.0000,64136.0000,85852.8000,76648.5000,169.0000,600.0000,1100.0000,1820.0000,169.0000,200.0000,220.0000,182.0000,30.8790,76648.5000,0.5756,-1.1331
VOO,635.1400,636.2100,-0.1682,NA,18680.0000,84494.0000,114374.0000,178858.0000,18680.0000,28164.6667,22874.8000,17885.8000,217.0000,903.0000,1224.0000,2032.0000,217.0000,301.0000,244.8000,203.2000,635.9545,17885.8000,1.0444,0.0275
VXX,26.4800,26.0200,1.7679,NA,5110.0000,94931.0000,96801.0000,140663.0000,5110.0000,31643.6667,19360.2000,14066.3000,26.0000,481.0000,494.0000,746.0000,26.0000,160.3333,98.8000,74.6000,26.3400,14066.3000,0.3633,1.7318
MSFT,484.4600,478.5100,1.2434,NA,20347.0000,80381.0000,112171.0000,174288.0000,20347.0000,26793.6667,22434.2000,17428.8000,215.0000,851.0000,1235.0000,2082.0000,215.0000,283.6667,247.0000,208.2000,484.9341,17428.8000,1.1674,1.2933
KHC,23.0100,23.5100,-2.1268,NA,74405.0000,156268.0000,195129.0000,376215.0000,74405.0000,52089.3333,39025.8000,37621.5000,186.0000,413.0000,513.0000,982.0000,186.0000,137.6667,102.6000,98.2000,23.0419,37621.5000,1.9777,-1.5379
SOXL,51.7100,54.0100,-4.2585,NA,74523.0000,339762.0000,423063.0000,639533.0000,74523.0000,113254.0000,84612.6000,63953.3000,274.0000,1067.0000,1322.0000,2030.0000,274.0000,355.6667,264.4000,203.0000,51.9225,63953.3000,1.1653,-3.1931
PRMB,NA,NA,NA,NA,28249.0000,100032.0000,178808.0000,328657.0000,28249.0000,33344.0000,35761.6000,32865.7000,157.0000,591.0000,980.0000,1732.0000,157.0000,197.0000,196.0000,173.2000,17.4023,32865.7000,0.8595,NA
TQQQ,55.3700,55.0100,0.6544,NA,182814.0000,761299.0000,862375.0000,1132359.0000,182814.0000,253766.3333,172475.0000,113235.9000,318.0000,1271.0000,1480.0000,1923.0000,318.0000,423.6667,296.0000,192.3000,55.5567,113235.9000,1.6145,1.7213
AAPL,NA,NA,NA,NA,48349.0000,168221.0000,216077.0000,393653.0000,48349.0000,56073.6667,43215.4000,39365.3000,319.0000,996.0000,1306.0000,2232.0000,319.0000,332.0000,261.2000,223.2000,261.8146,39365.3000,1.2282,NA
EC,NA,NA,NA,NA,12184.0000,283003.0000,284623.0000,308095.0000,12184.0000,94334.3333,56924.6000,30809.5000,27.0000,560.0000,574.0000,650.0000,27.0000,186.6667,114.8000,65.0000,10.4805,30809.5000,0.3955,NA
SLV,NA,NA,NA,NA,43575.0000,238694.0000,462921.0000,1121151.0000,43575.0000,79564.6667,92584.2000,112115.1000,174.0000,994.0000,1775.0000,4502.0000,174.0000,331.3333,355.0000,450.2000,71.0471,112115.1000,0.3887,NA
