rank,symbol,exchange,last_price,bid,ask,open,high,low,close,volume,avg_volume,shortable_shares,trade_count,trade_rate,volume_rate,borrow_fee_rate,bid_size,ask_size,last_size,timestamp,change,change_pct
1,ULY,,2.759999990463257,,,1.8650000095367432,,,1.809999942779541,7032100.0,,,,,47756.2,,,,,2025-12-30 19:09:27,0.9500000476837158,52.486192139036234
2,OCG,,0.10199999809265137,,,0.09000000357627869,,,0.08299999684095383,345109500.0,,,,,165255.4,,,,,2025-12-30 19:09:37,0.01900000125169754,22.89156864440092
3,IVP,,0.05000000074505806,,,0.0430000014603138,,,0.041999999433755875,63873500.0,,,,,316719.6,,,,,2025-12-30 19:09:37,0.008000001311302185,19.04762242656721
4,SGLY,,0.550000011920929,,,0.47999998927116394,,,0.47999998927116394,1224000.0,,,,,41255.6,,,,,2025-12-30 19:09:37,0.07000002264976501,14.583338377997393
5,NKLR,,4.699999809265137,,,4.5,,,4.119999885559082,1662900.0,,,,,110281.2,,,,,2025-12-30 19:10:07,0.5799999237060547,14.077668442152127
6,SOPA,,3.25,,,3.255000114440918,,,2.930000066757202,39240500.0,,,,,62136.8,,,,,2025-12-30 19:09:37,0.31999993324279785,10.921499179246094
7,CISS,,0.23000000417232513,,,0.21199999749660492,,,0.2150000035762787,4386600.0,,,,,97732.4,,,,,2025-12-30 19:09:57,0.015000000596046448,6.976744347227267
8,CANF,,0.18000000715255737,,,0.17000000178813934,,,0.17000000178813934,4304700.0,,,,,19298.6,,,,,2025-12-30 19:09:47,0.01000000536441803,5.882356034843122
9,CNET,,1.2699999809265137,,,1.2899999618530273,,,1.2300000190734863,23300.0,,,,,955.2,,,,,2025-12-30 19:09:27,0.039999961853027344,3.2520293685164203
10,QH,,1.1100000143051147,,,1.090000033378601,,,1.090000033378601,64500.0,,,,,234.0,,,,,2025-12-30 19:09:57,0.019999980926513672,1.8348605792718238
11,PLBY,,1.8600000143051147,,,1.850000023841858,,,1.840000033378601,573200.0,,,,,2873.8,,,,,2025-12-30 19:10:07,0.019999980926513672,1.086955465418649
12,NINE,,0.34200000762939453,,,0.3310000002384186,,,0.33899998664855957,955400.0,,,,,29724.0,,,,,2025-12-30 19:09:57,0.003000020980834961,0.8849619761032836
13,PTY,,12.960000038146973,,,12.869999885559082,,,12.869999885559082,1820000.0,,,,,6365.8,,,,,2025-12-30 19:09:47,0.09000015258789062,0.6993018911280352
14,GLE,,0.43700000643730164,,,0.421999990940094,,,0.4350000023841858,83300.0,,,,,6762.6,,,,,2025-12-30 19:09:37,0.0020000040531158447,0.4597710441733445
15,YCBD,,1.3600000143051147,,,1.399999976158142,,,1.3600000143051147,1805800.0,,,,,2881.0,,,,,2025-12-30 19:09:47,0.0,0.0
16,TRIB,,0.8199999928474426,,,0.8199999928474426,,,0.8199999928474426,494400.0,,,,,1806.8,,,,,2025-12-30 19:09:57,0.0,0.0
17,BNC,,6.5,,,6.489999771118164,,,6.519999980926514,253500.0,,,,,15953.0,,,,,2025-12-30 19:10:07,-0.019999980926513672,-0.30674817461689025
18,VOLT,,29.209999084472656,,,29.389999389648438,,,29.33799934387207,113100.0,,,,,1288.6,,,,,2025-12-30 19:10:07,-0.12800025939941406,-0.4362951198516198
19,ASNS,,0.47999998927116394,,,0.4740000069141388,,,0.48399999737739563,615900.0,,,,,174.4,,,,,2025-12-30 19:09:47,-0.0040000081062316895,-0.826447960311188
20,SUNE,,1.0800000429153442,,,1.059999942779541,,,1.090000033378601,49800.0,,,,,2925.6,,,,,2025-12-30 19:09:57,-0.009999990463256836,-0.9174302896359119
21,PDSB,,0.8029999732971191,,,0.8090000152587891,,,0.8119999766349792,360000.0,,,,,944.2,,,,,2025-12-30 19:09:37,-0.009000003337860107,-1.1083748271960734
22,BARK,,0.5830000042915344,,,0.5889999866485596,,,0.5910000205039978,1138300.0,,,,,4241.6,,,,,2025-12-30 19:09:37,-0.008000016212463379,-1.353640598124017
23,VNDA,,7.03000020980835,,,7.110000133514404,,,7.199999809265137,1503400.0,,,,,14711.2,,,,,2025-12-30 19:09:27,-0.1699995994567871,-2.3611056105588704
24,IMSR,,6.119999885559082,,,6.25,,,6.28000020980835,2186300.0,,,,,34588.8,,,,,2025-12-30 19:09:37,-0.16000032424926758,-2.5477757787232687
25,TVGN,,0.33899998664855957,,,0.33899998664855957,,,0.3490000069141388,1228000.0,,,,,6691.6,,,,,2025-12-30 19:09:57,-0.010000020265579224,-2.8653352628842312
26,DGLY,,0.6700000166893005,,,0.6600000262260437,,,0.6899999976158142,170800.0,,,,,1133.4,,,,,2025-12-30 19:10:07,-0.019999980926513672,-2.898547970379774
27,SCNX,,0.4950000047683716,,,0.5080000162124634,,,0.5109999775886536,880700.0,,,,,59330.2,,,,,2025-12-30 19:09:57,-0.015999972820281982,-3.131110278279052
28,INHD,,1.1699999570846558,,,1.2000000476837158,,,1.2100000381469727,1250000.0,,,,,3754.2,,,,,2025-12-30 19:09:47,-0.040000081062316895,-3.3057917191121846
29,MIST,,1.9600000381469727,,,2.0299999713897705,,,2.0399999618530273,3935000.0,,,,,36505.6,,,,,2025-12-30 19:10:07,-0.07999992370605469,-3.92156496088299
30,NAKA,,0.35899999737739563,,,0.375,,,0.37400001287460327,11979500.0,,,,,88523.4,,,,,2025-12-30 19:09:57,-0.015000015497207642,-4.0106991927395805
31,ANGH,,2.319999933242798,,,2.390000104904175,,,2.4200000762939453,1342600.0,,,,,346.5,,,,,2025-12-30 19:09:27,-0.10000014305114746,-4.1322371858884575
32,GCTS,,1.159999966621399,,,1.2000000476837158,,,1.2100000381469727,261400.0,,,,,2854.6,,,,,2025-12-30 19:09:47,-0.05000007152557373,-4.1322371858884575
33,KLXE,,1.5700000524520874,,,1.649999976158142,,,1.6399999856948853,682300.0,,,,,1774.2,,,,,2025-12-30 19:09:27,-0.06999993324279785,-4.268288649596429
34,CAPT,,0.3070000112056732,,,0.3100000023841858,,,0.32100000977516174,467900.0,,,,,32080.4,,,,,2025-12-30 19:10:07,-0.013999998569488525,-4.3613701380553085
35,AIM,,1.2599999904632568,,,1.2999999523162842,,,1.3200000524520874,1069300.0,,,,,2088.6,,,,,2025-12-30 19:09:27,-0.060000061988830566,-4.545459060957758
36,NMAX,,7.789999961853027,,,8.149999618530273,,,8.199999809265137,1298000.0,,,,,12283.6,,,,,2025-12-30 19:10:07,-0.4099998474121094,-4.999998255473771
37,MSS,,0.3019999861717224,,,0.34299999475479126,,,0.3190000057220459,358400.0,,,,,771.6,,,,,2025-12-30 19:09:47,-0.017000019550323486,-5.329159638052203
38,VCIG,,0.5460000038146973,,,0.5979999899864197,,,0.5799999833106995,601600.0,,,,,37215.8,,,,,2025-12-30 19:09:57,-0.0339999794960022,-5.8620655990241275
39,ORIS,,1.2200000286102295,,,1.2999999523162842,,,1.2979999780654907,654286.0,,,,,27067.0,,,,,2025-12-30 19:09:27,-0.07799994945526123,-6.009241199796517
40,CRE,,0.27300000190734863,,,0.30000001192092896,,,0.29100000858306885,144700.0,,,,,1309.2,,,,,2025-12-30 19:09:27,-0.018000006675720215,-6.185569121927339
41,SES,,1.7899999618530273,,,1.899999976158142,,,1.909999966621399,14432300.0,,,,,109976.0,,,,,2025-12-30 19:10:07,-0.12000000476837158,-6.282722872536994
42,KLTO,,0.3019999861717224,,,0.3149999976158142,,,0.3230000138282776,1005400.0,,,,,45955.0,,,,,2025-12-30 19:09:37,-0.021000027656555176,-6.501556271672423
43,AGAE,,0.39399999380111694,,,0.4230000078678131,,,0.42399999499320984,400500.0,,,,,20639.4,,,,,2025-12-30 19:09:47,-0.030000001192092896,-7.075472062817672
44,RENX,,0.17800000309944153,,,0.19599999487400055,,,0.19599999487400055,1539700.0,,,,,675.6,,,,,2025-12-30 19:09:47,-0.01799999177455902,-9.18366951291524
45,CUPR,,0.3799999952316284,,,0.40799999237060547,,,0.4300000071525574,172700.0,,,,,11191.4,,,,,2025-12-30 19:09:27,-0.050000011920928955,-11.627909555636291
46,ZSL,,4.710000038146973,,,4.78000020980835,,,5.369999885559082,137367400.0,,,,,930145.8,,,,,2025-12-30 19:09:57,-0.6599998474121094,-12.290500213733159
47,ISPC,,0.29600000381469727,,,0.33000001311302185,,,0.3409999907016754,15320300.0,,,,,33721.8,,,,,2025-12-30 19:09:27,-0.04499998688697815,-13.19647745279456
48,NCL,,0.1940000057220459,,,0.2199999988079071,,,0.2290000021457672,6852300.0,,,,,4003.2,,,,,2025-12-30 19:09:37,-0.034999996423721313,-15.283841089854
49,DGNX,,4.539999961853027,,,6.320000171661377,,,6.400000095367432,1322600.0,,,,,5114.4,,,,,2025-12-30 19:10:07,-1.8600001335144043,-29.062501653097545
50,SMX,,51.45000076293945,,,64.48999786376953,,,84.94999694824219,868700.0,,,,,2162.4,,,,,2025-12-30 19:09:47,-33.499996185302734,-39.434958668348635
