symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
TXBC,21Shares FTSE Crypto 10 ex-BTC Index ETF,,,,,,,
LAKE,"Lakeland Industries, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,1986-09-09,9806128.0,8493774.0,84724952.0
DLN,WisdomTree U.S. LargeCap Dividend Fund,,,,,,,
HUBCZ,HUB Cyber Security Ltd.,,,,,,9953354.0,
VOPKY,Koninklijke Vopak N.V.,NL,NYSE EURONEXT - EURONEXT AMSTERDAM,EUR,1987-01-01,114559114.0,57487246.0,5181508608.0
DD,"DuPont de Nemours, Inc.",US,"NEW YORK STOCK EXCHANGE, INC.",USD,2017-09-01,418975324.0,417270094.0,17286922240.0
