symbol,name,exchange,market_cap,share_outstanding,float_shares,sector,industry,country,currency
CAIE,Calamos US Equity Autocallable Income ETF,PCX,,,,,,,USD
CAL,"Caleres, Inc.",NYQ,450133024.0,33895562.0,32441781.0,Consumer Cyclical,Apparel Retail,United States,USD
CALX,"Calix, Inc.",NYQ,3596824064.0,66276473.0,60157829.0,Technology,Software - Infrastructure,United States,USD
CAM,AB California Intermediate Municipal ETF,PCX,,,,,,,USD
CAML,Congress Large Cap Growth ETF,PCX,,,,,,,USD
CAMX,Cambiar Aggressive Value ETF,PCX,,,,,,,USD
CANE,Teucrium Sugar Fund,PCX,,,,,,,USD
CANF,Can-Fite BioPharma Ltd.,ASE,4924070.0,17072915.0,3640135957.0,Healthcare,Biotechnology,Israel,USD
CANG,Cango Inc.,NYQ,481427008.0,346350361.0,207225698.0,Financial Services,Capital Markets,Hong Kong,USD
CAPE,DoubleLine Shiller CAPE U.S. Equities ETF,PCX,,,,,,,USD
