symbol,name,exchange,market_cap,share_outstanding,float_shares,sector,industry,country,currency
AS,"Amer Sports, Inc.",NYQ,21278906368.0,554571446.0,156931661.0,Consumer Cyclical,Leisure,Finland,USD
ASA,ASA Gold and Precious Metals Limited,NYQ,1178577152.0,18872332.0,11763502.0,Financial Services,Asset Management,United States,USD
ASAN,"Asana, Inc.",NYQ,3271980032.0,157538321.0,87338156.0,Technology,Software - Application,United States,USD
ASB,Associated Banc-Corp,NYQ,4373843456.0,165927302.0,162221465.0,Financial Services,Banks - Regional,United States,USD
ASBA,,NYQ,,,,,,,USD
ASC,Ardmore Shipping Corporation,NYQ,439534688.0,40697657.0,36519453.0,Industrials,Marine Shipping,Bermuda,USD
ASCE,Allspring SMID Core ETF,PCX,,,,,,,USD
ASEA,Global X FTSE Southeast Asia ETF,PCX,,,,,,,USD
ASG,"Liberty All-Star Growth Fund, Inc.",NYQ,335196544.0,61958696.0,,Financial Services,Asset Management,United States,USD
ASGI,Abrdn Global Infrastructure Income Fund,NYQ,722885248.0,31622275.0,,Financial Services,Asset Management,United States,USD
ASGM,Virtus AlphaSimplex Global Macro ETF,PCX,,,,,,,USD
ASGN,ASGN Incorporated,NYQ,2190875904.0,42700000.0,41161946.0,Technology,Information Technology Services,United States,USD
ASH,Ashland Inc.,NYQ,2731997440.0,45762099.0,39286946.0,Basic Materials,Specialty Chemicals,United States,USD
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,PCX,,,,,,,USD
ASIA,Matthews Pacific Tiger Active ETF,PCX,,,,,,,USD
ASIC,Ategrity Specialty Insurance Company Holdings,NYQ,1032472064.0,48066674.0,7594534.0,Financial Services,Insurance - Property & Casualty,United States,USD
ASIX,AdvanSix Inc.,NYQ,466896928.0,26864035.0,26013788.0,Basic Materials,Chemicals,United States,USD
ASLV,Allspring Special Large Value ETF,PCX,,,,,,,USD
ASM,Avino Silver & Gold Mines Ltd.,ASE,1079378944.0,156848423.0,148209928.0,Basic Materials,Other Precious Metals & Mining,Canada,USD
ASMF,Virtus AlphaSimplex Managed Fut,PCX,,,,,,,USD
ASMH,Precidian ETFs Trust - ASML Holding NV ADRhedged,PCX,,,,,,,USD
ASPN,"Aspen Aerogels, Inc.",NYQ,242982416.0,82647081.0,77113032.0,Industrials,Building Products & Equipment,United States,USD
ASX,"ASE Technology Holding Co., Ltd.",NYQ,34294761472.0,2181600491.0,3120773014.0,Technology,Semiconductors,Taiwan,USD
ATCH,"AtlasClear Holdings, Inc.",ASE,38371576.0,144580170.0,135981987.0,Financial Services,Capital Markets,United States,USD
ATEN,"A10 Networks, Inc.",NYQ,1303797760.0,71726487.0,70568104.0,Technology,Software - Infrastructure,United States,USD
ATFV,Alger 35 ETF,PCX,,,,,,,USD
ATGE,Adtalem Global Education Inc.,NYQ,3803153920.0,36328546.0,35485724.0,Consumer Defensive,Education & Training Services,United States,USD
ATHM,Autohome Inc.,NYQ,2796697088.0,118443735.0,248855109.0,Communication Services,Internet Content & Information,China,USD
ATHS,Athene Holding Ltd. 7.250% Fixe,NYQ,,,,,,,USD
ATI,ATI Inc.,NYQ,16119467008.0,135863661.0,134784904.0,Industrials,Metal Fabrication,United States,USD
ATNM,"Actinium Pharmaceuticals, Inc.",ASE,47417756.0,31195891.0,30858663.0,Healthcare,Biotechnology,United States,USD
ATO,Atmos Energy Corporation,NYQ,27194691584.0,161747997.0,160930143.0,Utilities,Utilities - Regulated Gas,United States,USD
ATS,ATS Corporation,NYQ,2756244480.0,96948447.0,75506911.0,Industrials,Specialty Industrial Machinery,Canada,USD
AVA,Avista Corporation,NYQ,3131184640.0,81371742.0,80658112.0,Utilities,Utilities - Diversified,United States,USD
AVAL,Grupo Aval Acciones y Valores S.A.,NYQ,5045709824.0,378212544.0,2967934469.0,Financial Services,Banks - Regional,Colombia,USD
AVB,"AvalonBay Communities, Inc.",NYQ,26085994496.0,141594945.0,133026304.0,Real Estate,REIT - Residential,United States,USD
AVBC,"Avidia Bancorp, Inc.",NYQ,348122176.0,18530379.0,19547040.0,Financial Services,Banks - Regional,United States,USD
AVD,American Vanguard Corporation,NYQ,114157248.0,28468140.0,26595790.0,Basic Materials,Agricultural Inputs,United States,USD
AVDE,Avantis International Equity ETF,PCX,,,,,,,USD
AVDS,Avantis International Small Cap Equity ETF,PCX,,,,,,,USD
AVDV,Avantis International Small Cap Value ETF,PCX,,,,,,,USD
AVEE,Avantis Emerging Markets Small Cap Equity ETF,PCX,,,,,,,USD
AVEM,Avantis Emerging Markets Equity ETF,PCX,,,,,,,USD
AVES,Avantis Emerging Markets Value ETF,PCX,,,,,,,USD
AVGE,Avantis All Equity Markets ETF,PCX,,,,,,,USD
AVGV,Avantis ALL Equity Markets Value ETF,PCX,,,,,,,USD
AVIE,Avantis Inflation Focused Equity ETF,PCX,,,,,,,USD
AVIG,Avantis Core Fixed Income ETF,PCX,,,,,,,USD
AVIV,Avantis International Large Cap Value ETF,PCX,,,,,,,USD
AVK,Advent Convertible and Income Fund,NYQ,556274176.0,44148745.0,,Financial Services,Asset Management,United States,USD
AVLC,Avantis U.S. Large Cap Equity E,PCX,,,,,,,USD
AVLV,Avantis US Large Cap Value ETF,PCX,,,,,,,USD
AVMA,Avantis Moderate Allocation ETF,PCX,,,,,,,USD
AVMC,Avantis U.S. Mid Cap Equity ETF,PCX,,,,,,,USD
AVMV,Avantis U.S. Mid Cap Value ETF,PCX,,,,,,,USD
AVNM,Avantis All International Markets Equity ETF,PCX,,,,,,,USD
AVNS,"Avanos Medical, Inc.",NYQ,529639744.0,46418907.0,42870182.0,Healthcare,Medical Devices,United States,USD
AVNT,Avient Corporation,NYQ,2908976640.0,91563628.0,90979452.0,Basic Materials,Specialty Chemicals,United States,USD
AVNV,Avantis All International Markets Value ETF,PCX,,,,,,,USD
AVSC,Avantis US Small Cap Equity ETF,PCX,,,,,,,USD
AVSD,Avantis Responsible International Equity ETF,PCX,,,,,,,USD
AVSE,Avantis Responsible Emerging Markets Equity ETF,PCX,,,,,,,USD
AVSF,Avantis Short-Term Fixed Income ETF,PCX,,,,,,,USD
AVY,Avery Dennison Corporation,NYQ,14109500416.0,77295394.0,76610557.0,Consumer Cyclical,Packaging & Containers,United States,USD
AX,"Axos Financial, Inc.",NYQ,4994301440.0,56644002.0,53913195.0,Financial Services,Banks - Regional,United States,USD
AXIA,AXIA Energia SA,NYQ,21011603456.0,1975745208.0,1215318660.0,Utilities,Utilities - Renewable,Brazil,USD
AXIL,"AXIL Brands, Inc.",ASE,50074688.0,6757717.0,3446571.0,Technology,Consumer Electronics,United States,USD
AXL,"American Axle & Manufacturing Holdings, Inc.",NYQ,766778880.0,118696421.0,115149772.0,Consumer Cyclical,Auto Parts,United States,USD
AXP,American Express Company,NYQ,265165914112.0,688851653.0,535912809.0,Financial Services,Credit Services,United States,USD
AXS,AXIS Capital Holdings Limited,NYQ,8520182272.0,77037743.0,76380611.0,Financial Services,Insurance - Specialty,Bermuda,USD
AXTA,Axalta Coating Systems Ltd.,NYQ,6916593664.0,213343421.0,212375872.0,Basic Materials,Specialty Chemicals,United States,USD
AYI,Acuity Inc.,NYQ,11471257600.0,30727680.0,30214677.0,Industrials,Electrical Equipment & Parts,United States,USD
AZNH,Precidian ETFs Trust - AstraZeneca PLC ADRhedged,PCX,,,,,,,USD
AZO,"AutoZone, Inc.",NYQ,57361068032.0,16567821.0,16518780.0,Consumer Cyclical,Auto Parts,United States,USD
AZTD,Aztlan Global Stock Selection Dm SMID ETF,PCX,,,,,,,USD
AZZ,AZZ Inc.,NYQ,3320706560.0,30057082.0,29460749.0,Industrials,Specialty Business Services,United States,USD
B,Barrick Mining Corporation,NYQ,79010889728.0,1687433930.0,1681274796.0,Basic Materials,Gold,Canada,USD
BA,The Boeing Company,NYQ,169487941632.0,783071257.0,728293074.0,Industrials,Aerospace & Defense,United States,USD
BAB,Invesco Taxable Municipal Bond ETF,PCX,968026496.0,35550000.0,,,,,USD
BABA,Alibaba Group Holding Limited,NYQ,363250155520.0,2386036266.0,17596889824.0,Consumer Cyclical,Internet Retail,Hong Kong,USD
BABO,YieldMax BABA Option Income Strategy ETF,PCX,,,,,,,USD
BAC,Bank of America Corporation,NYQ,416048218112.0,7302495550.0,7276498666.0,Financial Services,Banks - Diversified,United States,USD
BAH,Booz Allen Hamilton Holding Corporation,NYQ,10524205056.0,121301203.0,119146894.0,Industrials,Consulting Services,United States,USD
BAI,iShares A.I. Innovation and Tech Active ETF,PCX,,,,,,,USD
BAK,Braskem S.A.,NYQ,1167558656.0,172530183.0,203319879.0,Basic Materials,Chemicals,Brazil,USD
BALL,Ball Corporation,NYQ,14331361280.0,267987212.0,266925983.0,Consumer Cyclical,Packaging & Containers,United States,USD
BALY,Bally's Corporation,NYQ,873119552.0,49162136.0,10505948.0,Consumer Cyclical,Resorts & Casinos,United States,USD
BAM,Brookfield Asset Management Ltd.,NYQ,86160359424.0,1610718658.0,337514447.0,Financial Services,Asset Management,United States,USD
BANC,"Banc of California, Inc.",NYQ,3104109056.0,150826368.0,124669429.0,Financial Services,Banks - Regional,United States,USD
BAP,Credicorp Ltd.,NYQ,23135283200.0,79366317.0,53922454.0,Financial Services,Banks - Regional,Peru,USD
BATL,Battalion Oil Corporation,ASE,19089612.0,16456563.0,7223279.0,Energy,Oil & Gas E&P,United States,USD
BATT,Amplify Lithium & Battery Technology ETF,PCX,,,,,,,USD
BAX,Baxter International Inc.,NYQ,9962400768.0,514055805.0,511994441.0,Healthcare,Medical Instruments & Supplies,United States,USD
BB,BlackBerry Limited,NYQ,2342885632.0,590147550.0,588931846.0,Technology,Software - Infrastructure,Canada,USD
BBAG,JPMorgan BetaBuilders U.S. Aggregate Bond ETF,PCX,,,,,,,USD
BBAI,"BigBear.ai Holdings, Inc.",NYQ,2501438464.0,436551228.0,433469176.0,Technology,Information Technology Services,United States,USD
BBBI,Bondbloxx BBB Rated 5-10 Year Corporate Bond ETF,PCX,,,,,,,USD
BBBL,Bondbloxx BBB Rated 10+ Year Corporate Bond ETF,PCX,,,,,,,USD
BBBS,Bondbloxx BBB Rated 1-5 Year Corporate Bond ETF,PCX,,,,,,,USD
BBBY,"Bed Bath & Beyond, Inc.",NYQ,388995424.0,68848745.0,,,,,USD
BBC,Virtus LifeSci Biotech Clinical Trials ETF,PCX,,,,,,,USD
BBCB,JPMorgan BetaBuilders USD Investment Grade Corporate Bond ETF,PCX,,,,,,,USD
BBD,Banco Bradesco S.A.,NYQ,35432988672.0,5280641247.0,7558861646.0,Financial Services,Banks - Regional,Brazil,USD
BBDC,"Barings BDC, Inc.",NYQ,943275712.0,105158938.0,,Financial Services,Asset Management,United States,USD
BBDO,Banco Bradesco S.A.,NYQ,30990645248.0,5296370781.0,7558861646.0,Financial Services,Banks - Regional,Brazil,USD
BBHL,BBH Select Large Cap ETF,PCX,,,,,,,USD
BBHM,BBH Select Mid Cap ETF,PCX,,,,,,,USD
BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,PCX,,,,,,,USD
BBN,BlackRock Taxable Municipal Bond Trust,NYQ,1012779328.0,61792514.0,,Financial Services,Asset Management,United States,USD
BBP,Virtus LifeSci Biotech Products ETF,PCX,,,,,,,USD
BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,PCX,,,,,,,USD
BBT,Beacon Financial Corporation,NYQ,2266923264.0,83908861.0,83000057.0,Financial Services,Banks - Regional,United States,USD
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",NYQ,131202301952.0,5667486206.0,5988707571.0,Financial Services,Banks - Diversified,Spain,USD
BBY,"Best Buy Co., Inc.",NYQ,14625148928.0,209535103.0,194364762.0,Consumer Cyclical,Specialty Retail,United States,USD
BC,Brunswick Corporation,NYQ,4971020288.0,65036590.0,64368014.0,Consumer Cyclical,Recreational Vehicles,United States,USD
BCAT,BlackRock Capital Allocation Term Trust,NYQ,1491999872.0,104775271.0,,Financial Services,Asset Management,United States,USD
BCC,Boise Cascade Company,NYQ,2805164288.0,37043073.0,36633006.0,Basic Materials,Lumber & Wood Production,United States,USD
BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,PCX,,,,,,,USD
BCDF,Horizon Kinetics Blockchain Development ETF,PCX,,,,,,,USD
BCE,BCE Inc.,NYQ,21494720512.0,932525817.0,931555990.0,Communication Services,Telecom Services,Canada,USD
BCGD,Baron ETF Trust - Baron Global Durable Advantage ETF,NYQ,,,,,,,USD
BCH,Banco de Chile,NYQ,19375077376.0,505085406.0,34696336850.0,Financial Services,Banks - Regional,Chile,USD
BCHI,GMO Beyond China ETF,PCX,,,,,,,USD
BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,PCX,,,,,,,USD
BCIL,Bancreek International Large Cap ETF,PCX,,,,,,,USD
BCO,The Brink's Company,NYQ,4984059392.0,41545506.0,41198601.0,Industrials,Security & Protection Services,United States,USD
BCS,Barclays PLC,NYQ,89120153600.0,3462321478.0,13125289950.0,Financial Services,Banks - Diversified,United Kingdom,USD
BCSF,"Bain Capital Specialty Finance, Inc.",NYQ,903618368.0,64868507.0,,Financial Services,Asset Management,United States,USD
BCSM,Baron ETF Trust - Baron SMID Cap ETF,NYQ,,,,,,,USD
BCSS,Bain Capital GSS Investment Cor,NYQ,588672000.0,46900000.0,,,,,USD
BCV,Bancroft Fund Ltd.,ASE,130020472.0,5820312.0,,Financial Services,Asset Management,United States,USD
BCX,Blackrock Resources & Commodities Strategy Trust,NYQ,865595520.0,76238090.0,,Financial Services,Asset Management,United States,USD
BDBT,Bluemonte Core Bond ETF,PCX,,,,,,,USD
BDC,Belden Inc.,NYQ,4689800704.0,39300209.0,38804633.0,Technology,Communication Equipment,United States,USD
BDCX,ETRACS Quarterly Pay 1.5X Leveraged Wells Fargo BDC Index ETN,PCX,,,,,,,USD
BDCZ,UBS ETRACS Wells Fargo Business Development Company Index ETN,PCX,,,,,,,USD
BDIV,AAM Brentview Dividend Growth ETF,PCX,,,,,,,USD
BDJ,BlackRock Enhanced Equity Dividend Trust,NYQ,1649124480.0,176944689.0,,Financial Services,Asset Management,United States,USD
BDL,"Flanigan's Enterprises, Inc.",ASE,54978808.0,1858647.0,553319.0,Consumer Cyclical,Restaurants,United States,USD
BDN,Brandywine Realty Trust,NYQ,500253248.0,173699039.0,167581359.0,Real Estate,REIT - Office,United States,USD
BDVG,iMGP Berkshire Dividend Growth ETF,PCX,,,,,,,USD
BDX,"Becton, Dickinson and Company",NYQ,56036225024.0,284908096.0,284727838.0,Healthcare,Medical Instruments & Supplies,United States,USD
BE,Bloom Energy Corporation,NYQ,21328539648.0,236510755.0,220234085.0,Industrials,Electrical Equipment & Parts,United States,USD
BEDZ,AdvisorShares Hotel ETF,PCX,,,,,,,USD
BEKE,KE Holdings Inc.,NYQ,18855335936.0,1115991903.0,1986637788.0,Real Estate,Real Estate Services,China,USD
BEN,"Franklin Resources, Inc.",NYQ,12612441088.0,521390673.0,303897768.0,Financial Services,Asset Management,United States,USD
BENJ,Horizon Landmark ETF,PCX,,,,,,,USD
BEP,Brookfield Renewable Partners L.P.,NYQ,18634045440.0,305922080.0,298206139.0,Utilities,Utilities - Renewable,Canada,USD
BEPC,Brookfield Renewable Corporation,NYQ,7011773440.0,144885110.0,99750752.0,Utilities,Utilities - Renewable,United States,USD
BEPH,Brookfield BRP Holdings (Canada,NYQ,,,,,,,USD
BEPI,Brookfield BRP Holdings (Canada,NYQ,,,,,,,USD
BEPJ,Brookfield BRP Holdings (Canada,NYQ,,,,,,,USD
BETA,"BETA Technologies, Inc.",NYQ,7087943680.0,220528649.0,115999182.0,Industrials,Aerospace & Defense,United States,USD
BETE,Proshares Bitcoin & Ether Equal Weight ETF,PCX,,,,,,,USD
BETH,ProShares Bitcoin & Ether Market Cap Weight ETF,PCX,,,,,,,USD
BETZ,Roundhill Sports Betting & iGaming ETF,PCX,,,,,,,USD
BFAM,Bright Horizons Family Solutions Inc.,NYQ,5762256384.0,56553944.0,56108864.0,Consumer Cyclical,Personal Services,United States,USD
BFAP,FT Vest Bitcoin Strategy Floor15 ETF - April,PCX,,,,,,,USD
BFH,"Bread Financial Holdings, Inc.",NYQ,3494784000.0,45600000.0,45224619.0,Financial Services,Credit Services,United States,USD
BFIX,Build Bond Innovation ETF,PCX,,,,,,,USD
BFJL,FT Vest Bitcoin Strategy Floor15 ETF - July,PCX,,,,,,,USD
BFK,BlackRock Municipal Income Trust,NYQ,431531584.0,43854836.0,,Financial Services,Asset Management,United States,USD
BFLY,"Butterfly Network, Inc.",NYQ,972518080.0,226175175.0,184116627.0,Healthcare,Medical Devices,United States,USD
BFOC,FT Vest Bitcoin Strat Floor15 ETF - Oct,PCX,,,,,,,USD
BFS,"Saul Centers, Inc.",NYQ,1086083968.0,24412314.0,13573979.0,Real Estate,REIT - Retail,United States,USD
BFZ,BlackRock California Municipal Income Trust,NYQ,323484832.0,30063645.0,,Financial Services,Asset Management,United States,USD
BG,Bunge Global SA,NYQ,17224601600.0,193361047.0,159186416.0,Consumer Defensive,Farm Products,United States,USD
BGB,Blackstone Strategic Credit 2027 Term Fund,NYQ,528826304.0,44664382.0,,Financial Services,Asset Management,United States,USD
BGDV,Bahl & Gaynor Dividend ETF,PCX,,,,,,,USD
BGH,Barings Global Short Duration High Yield Fund,NYQ,306181408.0,20064313.0,,Financial Services,Asset Management,United States,USD
BGI,Birks Group Inc.,ASE,17856640.0,11876717.0,2849655.0,Consumer Cyclical,Luxury Goods,Canada,USD
BGIG,Bahl & Gaynor Income Growth ETF,PCX,,,,,,,USD
BGS,"B&G Foods, Inc.",NYQ,365617152.0,79977050.0,76907531.0,Consumer Defensive,Packaged Foods,United States,USD
BGSF,"BGSF, Inc.",NYQ,53310988.0,11199787.0,10447385.0,Industrials,Staffing & Employment Services,United States,USD
BGSI,Boyd Group Services Inc.,NYQ,4632558080.0,27829821.0,21408340.0,Consumer Cyclical,Auto & Truck Dealerships,Canada,USD
BGT,BlackRock Floating Rate Income Trust,NYQ,339703584.0,29824720.0,,Financial Services,Asset Management,United States,USD
BGX,Blackstone Long-Short Credit Income Fund,NYQ,149703488.0,12708275.0,,Financial Services,Asset Management,United States,USD
BGY,BlackRock Enhanced International Dividend Trust,NYQ,547404224.0,90614455.0,,Financial Services,Asset Management,United States,USD
BH,Biglari Holdings Inc.,NYQ,1103412608.0,2068640.0,181976.0,Consumer Cyclical,Restaurants,United States,USD
BHB,Bar Harbor Bankshares,ASE,531864832.0,16688573.0,16227134.0,Financial Services,Banks - Regional,United States,USD
BHC,Bausch Health Companies Inc.,NYQ,2670838016.0,370516926.0,223269794.0,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,USD
BHE,"Benchmark Electronics, Inc.",NYQ,1607722240.0,35678935.0,34879727.0,Technology,Electronic Components,United States,USD
BHK,BlackRock Core Bond Trust,NYQ,691908032.0,72224224.0,,Financial Services,Asset Management,United States,USD
BHM,"Bluerock Homes Trust, Inc.",ASE,46001472.0,4048078.0,2559734.0,Real Estate,REIT - Residential,United States,USD
BHP,BHP Group Limited,NYQ,158986895360.0,2539105827.0,4823048765.0,Basic Materials,Other Industrial Metals & Mining,Australia,USD
BHV,BlackRock Virginia Municipal Bond Trust,NYQ,16687288.0,1588241.0,,Financial Services,Asset Management,United States,USD
BHVN,Biohaven Ltd.,NYQ,1479476608.0,132688489.0,92906952.0,Healthcare,Biotechnology,United States,USD
BIBL,Inspire 100 ETF,PCX,,,,,,,USD
BIDD,iShares International Dividend Active ETF,PCX,,,,,,,USD
BIGY,YieldMax Target 12 Big 50 Option Income ETF,PCX,,,,,,,USD
BIL,State Street SPDR Bloomberg 1-3 Month T-Bill ETF,PCX,,,,,,,USD
BILD,Nomura Global Listed Infrastructure ETF,PCX,,,,,,,USD
BILL,"BILL Holdings, Inc.",NYQ,5543923712.0,100156683.0,81860060.0,Technology,Software - Application,United States,USD
BILS,State Street SPDR Bloomberg 3-12 Month T-Bill ETF,PCX,,,,,,,USD
BILZ,PIMCO Ultra Short Government Active Exchange-Traded Fund,PCX,,,,,,,USD
BINC,iShares Flexible Income Active ETF,PCX,,,,,,,USD
BINT,Bluemonte Global Equity ETF,PCX,,,,,,,USD
BIO,"Bio-Rad Laboratories, Inc.",NYQ,8197113344.0,21906399.0,21118868.0,Healthcare,Medical Devices,United States,USD
BIP,Brookfield Infrastructure Partners L.P.,NYQ,16296980480.0,461240345.0,454961044.0,Utilities,Utilities - Diversified,Bermuda,USD
BIPC,Brookfield Infrastructure Corporation,NYQ,5546927104.0,119069841.0,106054547.0,Utilities,Utilities - Regulated Gas,United States,USD
BIPH,Safeplus International Holdings Limited,NYQ,,,,,,,USD
BIPI,BIP Bermuda Holdings I Limited ,NYQ,,,,,,,USD
BIPJ,Brookfield Infrastructure Finance ULC,NYQ,,,,,,,USD
BIT,BlackRock Multi-Sector Income Trust,NYQ,578661376.0,43904505.0,,Financial Services,Asset Management,United States,USD
BITB,Bitwise Bitcoin ETF,PCX,,,,,,,USD
BITC,Bitwise Trendwise Bitcoin and Treasuries Rotation Strategy ETF,PCX,,,,,,,USD
BITI,ProShares Short Bitcoin ETF,PCX,,,,,,,USD
BITO,ProShares Bitcoin ETF,PCX,,,,,,,USD
BITQ,Bitwise Crypto Industry Innovators ETF,PCX,,,,,,,USD
BIV,Vanguard Intermediate-Term Bond Index Fund,PCX,,,,,,,USD
BIZD,VanEck BDC Income ETF,PCX,,,,,,,USD
BJ,"BJ's Wholesale Club Holdings, Inc.",NYQ,12365053952.0,130847715.0,129938323.0,Consumer Defensive,Discount Stores,United States,USD
BK,The Bank of New York Mellon Corporation,NYQ,82844639232.0,697349124.0,695842850.0,Financial Services,Banks - Diversified,United States,USD
BKAG,BNY Mellon Core Bond ETF,PCX,,,,,,,USD
BKCG,BNY Mellon ETF Trust II: BNY Mellon Concentrated Growth ETF,PCX,,,,,,,USD
BKCI,BNY Mellon Concentrated International ETF,PCX,,,,,,,USD
BKD,Brookdale Senior Living Inc.,NYQ,2588382208.0,237684321.0,234100086.0,Healthcare,Medical Care Facilities,United States,USD
BKDV,BNY Mellon Dynamic Value ETF,PCX,,,,,,,USD
BKE,"The Buckle, Inc.",NYQ,2777804800.0,51156626.0,30406953.0,Consumer Cyclical,Apparel Retail,United States,USD
BKEM,BNY Mellon Emerging Markets Equity ETF,PCX,,,,,,,USD
BKF,iShares MSCI BIC ETF,PCX,190344672.0,4300000.0,,,,,USD
BKH,Black Hills Corporation,NYQ,5231060480.0,75473390.0,75102061.0,Utilities,Utilities - Regulated Gas,United States,USD
BKHY,BNY Mellon High Yield ETF,PCX,,,,,,,USD
BKIE,BNY Mellon International Equity ETF,PCX,,,,,,,USD
BKKT,"Bakkt Holdings, Inc.",NYQ,253365088.0,24038434.0,23178339.0,Technology,Software - Infrastructure,United States,USD
BKLC,BNY Mellon US Large Cap Core Equity ETF,PCX,,,,,,,USD
BKLN,Invesco Senior Loan ETF,PCX,,,,,,,USD
BKMC,BNY Mellon US Mid Cap Core Equity ETF,PCX,,,,,,,USD
BKN,BlackRock Investment Quality Municipal Trust Inc.,NYQ,190984912.0,17205846.0,,Financial Services,Asset Management,United States,USD
BKSE,BNY Mellon US Small Cap Core Equity ETF,PCX,,,,,,,USD
BKSY,BlackSky Technology Inc.,NYQ,695017024.0,35992596.0,28029499.0,Industrials,Specialty Business Services,United States,USD
BKT,"BlackRock Income Trust, Inc.",NYQ,358221824.0,32388952.0,,Financial Services,Asset Management,United States,USD
BKTI,BK Technologies Corporation,ASE,277709920.0,3732241.0,13389256.0,Technology,Communication Equipment,United States,USD
BKV,BKV Corporation,NYQ,2641647104.0,96870076.0,22092561.0,Energy,Oil & Gas E&P,United States,USD
BLCO,Bausch + Lomb Corporation,NYQ,6084980736.0,354189784.0,42456729.0,Healthcare,Medical Instruments & Supplies,Canada,USD
BLCV,iShares Large Cap Value Active ETF,PCX,,,,,,,USD
BLD,TopBuild Corp.,NYQ,12153724928.0,28071651.0,27696136.0,Industrials,Engineering & Construction,United States,USD
BLE,BlackRock Municipal Income Trust II,NYQ,492543200.0,47727056.0,,Financial Services,Asset Management,United States,USD
BLES,Inspire Global Hope ETF,PCX,,,,,,,USD
BLK,"BlackRock, Inc.",NYQ,168821260288.0,155150909.0,144039001.0,Financial Services,Asset Management,United States,USD
BLND,"Blend Labs, Inc.",NYQ,792228096.0,256119535.0,221177100.0,Technology,Software - Application,United States,USD
BLOK,Amplify Blockchain Technology ETF,PCX,,,,,,,USD
BLOX,Nicholas Crypto Income ETF,PCX,,,,,,,USD
BLSH,Bullish,NYQ,6199129088.0,150683739.0,42682750.0,Technology,Software - Infrastructure,Cayman Islands,USD
BLST,Bluemonte Short Term Bond ETF,PCX,,,,,,,USD
BLTD,Bluemonte Long Term Bond ETF,PCX,,,,,,,USD
BLV,Vanguard Long-Term Bond Fund,PCX,,,,,,,USD
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",NYQ,1636469760.0,28736597.0,28101586.0,Financial Services,Banks - Regional,Panama,USD
BMA,Banco Macro S.A.,NYQ,6441880576.0,62817774.0,221377710.0,Financial Services,Banks - Regional,Argentina,USD
BME,BlackRock Health Sciences Trust,NYQ,534799392.0,12924103.0,,Financial Services,Asset Management,United States,USD
BMED,iShares Health Innovation Active ETF,PCX,,,,,,,USD
BMEZ,BlackRock Health Sciences Term Trust,NYQ,1548190720.0,62501404.0,,Financial Services,Asset Management,United States,USD
BMI,"Badger Meter, Inc.",NYQ,5326663680.0,29469785.0,29320078.0,Technology,Scientific & Technical Instruments,United States,USD
BMN,Blackrock 2037 Municipal Target Term Trust,NYQ,159162752.0,6147653.0,,Financial Services,Asset Management,United States,USD
BMNZ,Defiance Daily Target 2X Short BMNR ETF,PCX,,,,,,,USD
BMO,Bank of Montreal,NYQ,94116126720.0,708905679.0,708232219.0,Financial Services,Banks - Diversified,Canada,USD
BMVP,Invesco Bloomberg MVP Multi-fac,PCX,,,,,,,USD
BMY,Bristol-Myers Squibb Company,NYQ,111233548288.0,2035753027.0,2032495822.0,Healthcare,Drug Manufacturers - General,United States,USD
BN,Brookfield Corporation,NYQ,105036570624.0,2244501647.0,1922353891.0,Financial Services,Asset Management,Canada,USD
BNDC,FlexShares Core Select Bond Fund,PCX,,,,,,,USD
BNDD,Quadratic Deflation ETF,PCX,,,,,,,USD
BNDI,Neos Enhanced Income Aggregate Bond ETF,PCX,,,,,,,USD
BNDS,Infrastructure Capital Bond Income ETF,PCX,,,,,,,USD
BNED,"Barnes & Noble Education, Inc.",NYQ,328619616.0,34053847.0,17301738.0,Consumer Cyclical,Specialty Retail,United States,USD
BNGE,First Trust S-Network Streaming & Gaming ETF,PCX,,,,,,,USD
BNH,NASDAQ DM Ex US Industrials Ind,NYQ,,,,,,,USD
BNJ,Brookfield Finance Inc. 4.50% P,NYQ,,,,,,,USD
BNKD,MicroSectors™ U.S. Big Banks -3x Inverse Leveraged ETNs,PCX,,,,,,,USD
BNL,"Broadstone Net Lease, Inc.",NYQ,3458315520.0,189216037.0,187340906.0,Real Estate,REIT - Diversified,United States,USD
BNO,"United States Brent Oil Fund, LP",PCX,,,,,,,USD
BNS,The Bank of Nova Scotia,NYQ,92420636672.0,1236305738.0,1220635023.0,Financial Services,Banks - Diversified,Canada,USD
BNT,Brookfield Wealth Solutions Ltd.,NYQ,12843448320.0,59928210.0,20203044.0,Financial Services,Insurance - Diversified,Bermuda,USD
BNY,BlackRock New York Municipal Income Trust,NYQ,242859248.0,24117105.0,,Financial Services,Asset Management,United States,USD
BOAT,SonicShares Global Shipping ETF,PCX,,,,,,,USD
BOBP,CORE16 Best of Breed Premier Index ETF,PCX,,,,,,,USD
