symbol,last,prev_close,pct_change,shortable_shares,vol_1m,vol_3m,vol_5m,vol_10m,vol_15m,vpm_1m,vpm_3m,vpm_5m,vpm_10m,vpm_15m,trades_1m,trades_3m,trades_5m,trades_10m,trades_15m,tpm_1m,tpm_3m,tpm_5m,tpm_10m,tpm_15m,vwap_5m,vwap_30m,vwap5_dist,vwap30_dist,accel,breakout_score,rsi14,macd,macd_signal,macd_hist,relvol,last_bar_time,last_close,data_status,missing_fields
AIRE,0.5203,0.454,14.603524229074882,,47081.0,121591.0,173638.0,243329.0,356784.0,47081.0,40530.333333333336,34727.6,24332.9,23785.6,33.0,98.0,126.0,194.0,287.0,33.0,32.666666666666664,25.2,19.4,19.133333333333333,0.5286923434578453,0.5296183905078151,-0.015873775290476653,-0.017594537264614928,1.934870073028659,93.50701615165471,43.768329226736554,-0.001507519890421971,-0.0013495057645414852,-0.00015801412588048588,2.353820502501006,2026-01-08 19:59:00-05:00,0.5251,OK,
BLNE,2.0,1.755,13.960113960113969,,500.0,2050.0,5617.0,6102.0,13134.0,500.0,683.3333333333334,1123.4,610.2,875.6,1.0,7.0,17.0,21.0,27.0,1.0,2.3333333333333335,3.4,2.1,1.8,2.0892496825114235,2.0591296328992863,-0.042718533480469015,-0.02871583797083764,0.8194034742710268,27.979718010289844,63.529881374940004,0.01161321318893771,0.007361097884891848,0.004252115304045862,0.7499625018749062,2026-01-08 19:59:00-05:00,2.09,OK,
CUPR,0.5334,0.4693,13.65864052844662,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,,0.4736,,0.1262668918918918,1.0,0.0,99.92123653454225,0.010166655713208239,0.008914224698597772,0.0012524310146104674,0.0,2026-01-08 19:59:00-05:00,0.4736,PARTIAL,"vwap5_dist,vwap_5m"
CGTL,2.87,2.53,13.438735177865627,,8734.0,16488.0,31800.0,54400.0,66847.0,8734.0,5496.0,6360.0,5440.0,4456.466666666666,18.0,40.0,66.0,109.0,136.0,18.0,13.333333333333334,13.2,10.9,9.066666666666666,3.09026498951782,3.04560788095436,-0.07127705561334023,-0.057659386177885824,1.6055147058822417,91.30943647132527,64.18227504752957,0.03499620014261273,0.03188778255504725,0.0031084175875654846,2.868026138639871,2026-01-08 19:59:00-05:00,3.13,OK,
JTAI,0.8189,0.7244,13.045278851463268,,5200.0,33035.0,52096.0,77174.0,96967.0,5200.0,11011.666666666666,10419.2,7717.4,6464.466666666666,13.0,37.0,76.0,112.0,149.0,13.0,12.333333333333334,15.2,11.2,9.933333333333334,0.6735593302108928,0.6835977386012896,0.21578005569843528,0.1979267246781017,0.6738020576878646,30.461298197479113,38.51795771110231,-0.005033527969242613,-0.0039744991945756605,-0.0010590287746669522,0.8390073897189325,2026-01-08 19:59:00-05:00,0.6751,OK,
RVMD,121.28,107.39,12.934165192289784,,100.0,313.0,1590.0,3311.0,4132.0,100.0,104.33333333333333,318.0,331.1,275.46666666666664,1.0,3.0,9.0,18.0,20.0,1.0,1.0,1.8,1.8,1.3333333333333333,123.74723060796644,124.5424105826674,-0.019937663217552522,-0.02619517775032877,0.30202355783961937,12.59914387518285,30.893256806860734,-0.2652710876935913,-0.22504785326266097,-0.040223234430930344,0.2865740077374982,2026-01-08 19:59:00-05:00,123.65,OK,
ZNTL,3.18,2.84,11.971830985915505,,0.0,0.0,0.0,502.0,1102.0,0.0,0.0,0.0,50.2,73.46666666666667,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.3,0.3333333333333333,,3.086190476190476,,0.030396543743249564,1.9920318724702783e-11,0.0,23.3635275080957,-0.020518447712483123,-0.018769929155863733,-0.0017485185566193905,0.0,2026-01-08 19:59:00-05:00,3.0707,PARTIAL,"vwap5_dist,vwap_5m"
DDD,2.86,2.56,11.718749999999993,,34947.0,86200.0,133898.0,170316.0,172775.0,34947.0,28733.333333333332,26779.6,17031.6,11518.333333333334,13.0,48.0,97.0,140.0,150.0,13.0,16.0,19.4,14.0,10.0,2.9119774417840443,2.8784371742412858,-0.017849534490967774,-0.006405272418754685,2.0518917776368015,117.46106587034005,79.47406722544113,0.029214269895919465,0.022764475719088108,0.006449794176831357,4.106218605880798,2026-01-08 19:59:00-05:00,2.91,OK,
LIMN,0.9147,0.8201,11.535178636751603,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,40.17215816926476,-4.715071092675771e-06,-7.404918342681872e-06,2.6898472500061013e-06,,2026-01-08 19:59:00-05:00,0.8161,PARTIAL,"breakout_score,relvol,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
OPEN,7.18,6.43,11.66407465007776,,55567.0,105547.0,157741.0,232614.0,303157.0,55567.0,35182.333333333336,31548.2,23261.4,20210.466666666667,55.0,120.0,190.0,353.0,451.0,55.0,40.0,38.0,35.3,30.066666666666666,7.223059839018814,7.219242807859247,-0.0059614401622710665,-0.005435862029259625,2.388807208508456,116.08811832225821,50.28553708854026,0.0019836678122695517,0.002716404886400508,-0.0007327370741309564,3.2672440657835167,2026-01-08 19:59:00-05:00,7.22,OK,
OSG,7.41,6.7,10.597014925373134,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,0.0,0.0,0.0,,2026-01-08 19:59:00-05:00,6.7,PARTIAL,"breakout_score,relvol,rsi14,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
BETR,41.4,37.44,10.57692307692308,,0.0,0.0,5421.0,6466.0,6466.0,0.0,0.0,1084.2,646.6,431.06666666666666,0.0,0.0,7.0,8.0,8.0,0.0,0.0,1.4,0.8,0.5333333333333333,41.41266986410871,41.393189812860555,-0.00030594173595384377,0.00016452433770463816,1.5465511908420251e-12,0.0,71.31272409887093,0.164352831405715,0.15200776748571077,0.012345063920004229,0.0,2026-01-08 19:59:00-05:00,41.6,OK,
SRXH,0.2202,0.1991,10.59768960321447,,12674.0,253051.0,301533.0,392155.0,477729.0,12674.0,84350.33333333333,60306.6,39215.5,31848.6,5.0,80.0,139.0,158.0,180.0,5.0,26.666666666666668,27.8,15.8,12.0,0.20866388101247074,0.20673389393403463,0.055285653327035604,0.06513738898693694,0.32318853514555923,20.84776309152568,60.01847297605766,0.001429108468770618,0.001051384091717426,0.0003777243770531919,0.5173346286428028,2026-01-08 19:59:00-05:00,0.2068,OK,
ONDL,56.2,51.01,10.174475593020986,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,52.32,,0.07415902140672788,1.0,0.0,99.93326991725813,0.20578282477882226,0.24708346160663824,-0.041300636827815984,0.0,2026-01-08 19:59:00-05:00,52.32,PARTIAL,"vwap5_dist,vwap_5m"
TDTH,0.4729,0.4306,9.82350209010683,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,99.91651713725535,3.987441389130542e-06,5.860483614947459e-06,-1.8730422258169174e-06,,2026-01-08 19:59:00-05:00,0.45,PARTIAL,"breakout_score,relvol,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
MYND,0.48,0.4377,9.664153529814943,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,99.92560437504632,1.4288699945574912e-05,2.1010564373981272e-05,-6.72186442840636e-06,,2026-01-08 19:59:00-05:00,0.4699,PARTIAL,"breakout_score,relvol,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
INVZ,1.25,1.14,9.649122807017553,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.16,,0.0775862068965518,1.0,0.0,76.56972788332466,0.0012519704186326752,0.0012934287946563014,-4.145837602362616e-05,0.0,2026-01-08 19:59:00-05:00,1.16,PARTIAL,"vwap5_dist,vwap_5m"
KIDZ,0.217,0.1981,9.540636042402827,,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3333.3333333333335,2000.0,1000.0,666.6666666666666,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.6,0.3,0.2,0.19456666666666667,0.19456666666666667,0.1152989549426075,0.1152989549426075,9.999999999991001,,0.08395437280721296,-0.0005003040653313584,-9.716899749280669e-05,-0.0004031350678385517,,2026-01-08 19:59:00-05:00,0.1926,PARTIAL,"breakout_score,relvol"
MSN,0.4518,0.4125,9.52727272727273,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,0.0,0.0,0.0,,2026-01-08 19:59:00-05:00,0.4125,PARTIAL,"breakout_score,relvol,rsi14,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
KUST,3.11,2.84,9.507042253521128,,1080.0,8645.0,8845.0,14960.0,15511.0,1080.0,2881.6666666666665,1769.0,1496.0,1034.0666666666666,3.0,25.0,27.0,37.0,41.0,3.0,8.333333333333334,5.4,3.7,2.7333333333333334,2.988027133973997,2.953647404793413,0.04082053494065236,0.052935429920594225,0.7219251336900254,43.39428128348293,53.37572281593821,0.01695585859665316,0.015622520548048302,0.0013333380486048596,1.3818693621649287,2026-01-08 19:59:00-05:00,2.96,OK,
EHGO,0.2546,0.2325,9.505376344086013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,1.3176765660261047e-06,1.937554115836324e-06,-6.198775498102192e-07,,2026-01-08 19:59:00-05:00,0.2371,PARTIAL,"breakout_score,relvol,rsi14,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
