symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
MYNZ,Mainz Biomed N.V.,DE,NASDAQ NMS - GLOBAL MARKET,USD,2021-11-04,8583939.0,4067384.0,10901604.0
GBLI,"Global Indemnity Group, LLC",United States,NMS,USD,,10530342.0,4083840.0,399638304.0
WVVI,"Willamette Valley Vineyards, Inc.",United States,NCM,USD,,4964529.0,4094595.0,15638267.0
WVVIP,"Willamette Valley Vineyards, Inc.",United States,NCM,USD,,4964530.0,4094595.0,23700776.0
DTSS,Datasea Inc.,China,NCM,USD,,8570713.0,4114885.0,7207970.0
NTRB,Nutriband Inc.,United States,NCM,USD,,12174883.0,4122823.0,58439444.0
NTRBW,Nutriband Inc.,United States,NCM,USD,,,4122823.0,
NWTG,"Newton Golf Company, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2023-08-15,4752463.0,4125262.0,7508891.0
CABR,"Caring Brands, Inc.",United States,NCM,USD,,14736925.0,4135913.0,11789540.0
LUCYW,"Lucyd, Inc",United States,NCM,,,,4150404.0,
LUCY,"Lucyd, Inc",United States,NCM,USD,,5350183.0,4150404.0,6527223.0
ATRA,"Atara Biotherapeutics, Inc.",United States,NMS,USD,,7210235.0,4151509.0,124520760.0
SCLXW,Scilex Holding Company,United States,NCM,USD,,,4155474.0,
SCLX,Scilex Holding Company,United States,NCM,USD,,7033004.0,4155474.0,99165360.0
NEUP,Neuphoria Therapeutics Inc.,United States,NGM,USD,,5377329.0,4159472.0,20003664.0
SIRC,Solar Integrated Roofing Corporation,,,,,10975456223.0,4172554.0,1097545.0
GBIO,Generation Bio Co.,United States,NMS,USD,,6738545.0,4185381.0,37735852.0
EFSI,"Eagle Financial Services, Inc.",United States,NCM,USD,,5376346.0,4190455.0,216828048.0
TPST,"Tempest Therapeutics, Inc.",,,,,4927161.0,4191112.0,14732211.0
OPXS,"Optex Systems Holdings, Inc",United States,NCM,USD,,6937358.0,4192655.0,97608624.0
UI,Ubiquiti Inc.,United States,NYQ,USD,,60499655.0,4193836.0,34528362496.0
BSVN,Bank7 Corp.,United States,NMS,USD,,9453390.0,4196738.0,388912512.0
CCEL,"Cryo-Cell International, Inc.",United States,ASE,USD,,8055150.0,4203580.0,28193028.0
VATE,INNOVATE Corp.,United States,NYQ,USD,,13655062.0,4204667.0,67182904.0
NC,"NACCO Industries, Inc.",United States,NYQ,USD,,5897002.0,4215695.0,363225184.0
FEDU,Four Seasons Education (Cayman) Inc.,China,NYQ,USD,,2260058.0,4220996.0,26216674.0
MNPR,Monopar Therapeutics Inc.,United States,NCM,USD,,6682584.0,4229474.0,459561280.0
HUDI,"Huadi International Group Co., Ltd.",,,,,14279182.0,4237204.0,16563851.0
KMRK,K-TECH Solutions Company Limited,Hong Kong,NCM,USD,,16600000.0,4251195.0,23421000.0
DDC,DDC Enterprise Limited,United States,ASE,USD,,22660530.0,4259433.0,48713340.0
PEBK,"Peoples Bancorp of North Carolina, Inc.",United States,NGM,USD,,5309018.0,4263407.0,196592928.0
PRPH,"ProPhase Labs, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,1984-01-16,4187902.0,4284582.0,2177709.0
PROV,"Provident Financial Holdings, Inc.",United States,NMS,USD,,6474230.0,4286588.0,104641496.0
FUSB,"First US Bancshares, Inc.",United States,NCM,USD,,5766888.0,4301752.0,78660352.0
LWAY,"Lifeway Foods, Inc.",United States,NGM,USD,,15228763.0,4308674.0,361683136.0
MCTA,Charming Medical Limited,Hong Kong,NCM,USD,,15178000.0,4310592.0,504260192.0
DLXY,Delixy Holdings Limited,,,,,16350000.0,4317450.0,11610135.0
CTRN,"Citi Trends, Inc.",United States,NMS,USD,,8345260.0,4326997.0,335229088.0
DTST,Data Storage Corporation,United States,NCM,USD,,7498358.0,4332701.0,38016680.0
DTSTW,Data Storage Corporation,United States,NCM,USD,,,4332701.0,
MI,NFT Limited,Hong Kong,ASE,USD,,14318410.0,4333286.0,57212068.0
AFBI,"Affinity Bancshares, Inc.",,,,,6167602.0,4346741.0,132895976.0
PXS,Pyxis Tankers Inc.,Greece,NCM,USD,,10485865.0,4366629.0,30933302.0
GBIM,"GlobeImmune, Inc.",,,,,5751574.0,4370506.0,575.0
AXG,Solowin Holdings,Hong Kong,NCM,USD,,155825986.0,4376429.0,799333696.0
ZCAR,"Zoomcar Holdings, Inc.",,,,,6902727.0,4376743.0,462482.0
CFBK,CF Bankshares Inc.,United States,NCM,USD,,6367075.0,4383700.0,166764896.0
RCMT,"RCM Technologies, Inc.",United States,NGM,USD,,7410510.0,4388875.0,150433360.0
MBAI,Check-Cap Ltd.,IL,NASDAQ NMS - GLOBAL MARKET,USD,2015-02-19,6118763.0,4389584.0,10279522.0
AFJK,"Aimei Health Technology Co., Ltd",US,NASDAQ NMS - GLOBAL MARKET,USD,2024-01-22,6121733.0,4396751.0,269478688.0
AFJKR,"Aimei Health Technology Co., Ltd",United States,NGM,USD,,,4396751.0,
AFJKU,"Aimei Health Technology Co., Ltd",United States,NGM,USD,,,4396751.0,
HOV,"Hovnanian Enterprises, Inc.",United States,NYQ,USD,,5167955.0,4400933.0,605803904.0
APRE,"Aprea Therapeutics, Inc.",United States,NCM,USD,,6993838.0,4410214.0,6855360.0
KG,Kestrel Group Ltd,Bermuda,NCM,USD,,7741943.0,4415772.0,78890408.0
ZYBT,Zhengye Biotechnology Holding Limited,China,NCM,USD,,47391376.0,4418772.0,72508800.0
ONFOW,"Onfolio Holdings, Inc.",United States,NCM,USD,,,4430031.0,
ONFO,"Onfolio Holdings, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2022-08-26,5127396.0,4430031.0,3739557.0
NSTS,"NSTS Bancorp, Inc.",United States,NCM,USD,,4887961.0,4440419.0,63025624.0
SPCB,SuperCom Ltd.,IL,NASDAQ NMS - GLOBAL MARKET,USD,2013-09-17,4683506.0,4441995.0,43790784.0
EVTV,"Envirotech Vehicles, Inc.",United States,NCM,USD,,4829515.0,4447838.0,2099873.0
ICCT,iCoreConnect Inc.,US,NASDAQ NMS - GLOBAL MARKET,USD,2022-02-25,4877080.0,4448580.0,14631.0
ICNP,iCoreConnect Inc. New,US,NASDAQ NMS - GLOBAL MARKET,USD,2022-02-25,,4448580.0,0.0
JBDI,JBDI Holdings Limited,Singapore,NCM,USD,,19254471.0,4471830.0,16354748.0
RAC,Rithm Acquisition Corp.,United States,NYQ,USD,,23660000.0,4474650.0,305864000.0
REVBW,"Revelation Biosciences, Inc.",United States,NCM,USD,,,4488956.0,
REVB,"Revelation Biosciences, Inc.",United States,NCM,USD,,5924137.0,4488956.0,5094758.0
CZFS,"Citizens Financial Services, Inc.",United States,NCM,USD,,4806377.0,4504200.0,279250496.0
SNES,"SenesTech, Inc.",United States,NCM,USD,,5223015.0,4510648.0,12117394.0
ALUR,Allurion Technologies Inc.,United States,NYQ,USD,,12256598.0,4525700.0,16423842.0
NUTX,Nutex Health Inc.,United States,NCM,USD,,7071916.0,4544201.0,1249430784.0
SKIL,Skillsoft Corp.,United States,NYQ,USD,,8758515.0,4544793.0,62798552.0
UCFI,CN Healthy Food Tech Group Corp.,United States,NCM,USD,,52235000.0,4545490.0,287867104.0
UCFIW,CN Healthy Food Tech Group Corp.,United States,NCM,USD,,,4545490.0,
MDBH,"MDB Capital Holdings, LLC",United States,NCM,USD,,5138632.0,4556301.0,35485212.0
CBFV,"CB Financial Services, Inc.",United States,NGM,USD,,5010883.0,4569675.0,180191344.0
ARTV,"Artiva Biotherapeutics, Inc.",United States,NGM,USD,,24544904.0,4572961.0,102597696.0
DSWL,"Deswell Industries, Inc.",Macau,NGM,USD,,15935239.0,4587596.0,56092040.0
JVA,"Coffee Holding Co., Inc.",United States,NCM,USD,,5708599.0,4601702.0,23519432.0
RENX,RenX Enterprises Corp.,United States,NCM,USD,,8882672.0,4610685.0,2000377.0
EBON,Ebang International Holdings Inc.,China,NMS,USD,,4726424.0,4613934.0,21040066.0
RDGT,"Ridgetech, Inc.",China,NCM,USD,,18285638.0,4618080.0,58879760.0
CABO,"Cable One, Inc.",United States,NYQ,USD,,5635177.0,4623606.0,658921280.0
HUHU,HUHUTECH International Group Inc.,China,NCM,USD,,23173413.0,4633524.0,259542208.0
OTH,Off The Hook YS Inc.,United States,ASE,USD,,23750000.0,4648350.0,53437500.0
LOCL,Local Bounti Corporation,United States,NYQ,USD,,22271082.0,4653988.0,48773672.0
MTEK,Maris-Tech Ltd.,Israel,NCM,USD,,8072591.0,4658328.0,9848561.0
MTEKW,Maris-Tech Ltd.,Israel,NCM,USD,,,4658328.0,
FDBC,"Fidelity D & D Bancorp, Inc.",United States,NGM,USD,,5767286.0,4687189.0,261028080.0
MB,MasterBeef Group,Hong Kong,NCM,USD,,17155000.0,4690005.0,120599656.0
VNCE,Vince Holding Corp.,United States,NCM,USD,,13339426.0,4694277.0,58560080.0
CAPNR,Cayson Acquisition Corp,United States,NGM,USD,,,4705439.0,
CAPN,Cayson Acquisition Corp,United States,NGM,USD,,7830000.0,4705439.0,83545320.0
CAPNU,Cayson Acquisition Corp,United States,NGM,USD,,,4705439.0,
VMAR,Vision Marine Technologies Inc.,Canada,NCM,USD,,24258735.0,4706358.0,5761449.0
GENK,"GEN Restaurant Group, Inc.",United States,NGM,USD,,5259566.0,4711572.0,79390904.0
GRAN,Grande Group Limited,Hong Kong,NCM,USD,,19906250.0,4712263.0,114568744.0
VABK,Virginia National Bankshares Corporation,United States,NCM,USD,,5393139.0,4714682.0,220471536.0
COEP,"Coeptis Therapeutics Holdings, Inc.",United States,NCM,USD,,5340111.0,4722954.0,78232624.0
KZR,"Kezar Life Sciences, Inc.",United States,NCM,USD,,7323156.0,4725413.0,46428812.0
GBR,"New Concept Energy, Inc.",United States,ASE,USD,,5131934.0,4731951.0,3900269.0
DRIO,DarioHealth Corp.,United States,NCM,USD,,6758412.0,4734886.0,67854464.0
SEGG,Lottery.com Inc.,United States,NGM,USD,,5139652.0,4736857.0,5139652.0
IDAI,T Stamp Inc.,United States,NCM,USD,,5243832.0,4749653.0,19139988.0
RBZHF,Reebonz Holding Limited,,,,,6221964.0,4753954.0,622.0
PAMT,Pamt Corp.,United States,NGM,USD,,20926020.0,4767994.0,262412288.0
CWNOF,ChineseWorldNet.Com Inc.,,,,,10950000.0,4773324.0,124830.0
NVEC,NVE Corporation,United States,NCM,USD,,4837166.0,4773799.0,295502528.0
SENEB,Seneca Foods Corporation,US,NASDAQ NMS - GLOBAL MARKET,USD,1995-09-20,1561783.0,4778182.0,787905344.0
