symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
ICG,Intchains Group Limited,China,NCM,USD,,28715807.0,25772213.0,111102832.0
RPTX,Repare Therapeutics Inc.,Canada,NMS,USD,,43108362.0,25786295.0,110788480.0
PLMR,"Palomar Holdings, Inc.",United States,NMS,USD,,26501692.0,25887383.0,3609875456.0
MGIC,Magic Software Enterprises Ltd.,Israel,NMS,USD,,49099305.0,25972389.0,1288856704.0
ASIX,AdvanSix Inc.,United States,NYQ,USD,,26864035.0,26013788.0,466896928.0
EMPD,Empery Digital Inc.,United States,NMS,USD,,33800951.0,26063824.0,147164480.0
CLPT,"ClearPoint Neuro, Inc.",United States,NCM,USD,,29748308.0,26107377.0,417071296.0
GCT,GigaCloud Technology Inc.,United States,NGM,USD,,28980012.0,26129081.0,1513799040.0
GES,"Guess?, Inc.",Switzerland,NYQ,USD,,52151599.0,26134209.0,873020032.0
PMI,"Picard Medical, Inc.",United States,ASE,USD,,73701176.0,26138859.0,145191312.0
GROV,"Grove Collaborative Holdings, Inc.",United States,NYQ,USD,,41387655.0,26173967.0,48837432.0
CAEP,"Cantor Equity Partners III, Inc.",United States,NGM,USD,,28180000.0,26175994.0,357816000.0
SDHI,Siddhi Acquisition Corp.,United States,NGM,USD,,27938000.0,26188073.0,356741120.0
SDHIR,Siddhi Acquisition Corp.,United States,NGM,USD,,,26188073.0,
SDHIU,Siddhi Acquisition Corp.,United States,NGM,USD,,,26188073.0,
LANV,Lanvin Group Holdings Limited,China,NYQ,USD,,116944667.0,26188589.0,266971792.0
MBX,"MBX Biosciences, Inc.",United States,NMS,USD,,44902302.0,26204085.0,1387481216.0
CVGI,"Commercial Vehicle Group, Inc.",United States,NMS,USD,,36731381.0,26219071.0,55097076.0
ARCT,Arcturus Therapeutics Holdings Inc.,United States,NGM,USD,,28412537.0,26273073.0,175021216.0
NIPG,NIP Group Inc.,Sweden,NGM,USD,,98681578.0,26276879.0,124744752.0
TGLS,Tecnoglass Inc.,Colombia,NYQ,USD,,46569446.0,26328968.0,2392272384.0
